date,ltp,ltq,bid,ask
2022-08-15 08:20:34,1.02075,0,1.02068,1.02082
2022-08-15 08:20:35,1.020755,0,1.02068,1.02083
2022-08-15 08:20:36,1.020845,16,1.02077,1.02092
2022-08-15 08:20:37,1.020835,1,1.02076,1.02091
2022-08-15 08:20:38,1.020825,6,1.02075,1.0209
2022-08-15 08:20:39,1.020825,0,1.02075,1.0209
2022-08-15 08:20:40,1.020875,10,1.0208,1.02095
2022-08-15 08:20:41,1.020855,3,1.02078,1.02093
2022-08-15 08:20:42,1.020835,0,1.02076,1.02091
2022-08-15 08:20:43,1.020825,5,1.02075,1.0209
2022-08-15 08:20:44,1.020825,10,1.02075,1.0209
2022-08-15 08:20:45,1.020825,0,1.02075,1.0209
2022-08-15 08:20:46,1.020835,8,1.02076,1.02091
2022-08-15 08:20:47,1.020835,0,1.02076,1.02091
2022-08-15 08:20:48,1.020825,1,1.02075,1.0209
2022-08-15 08:20:49,1.020855,6,1.02078,1.02093
2022-08-15 08:20:50,1.020835,0,1.02076,1.02091
2022-08-15 08:20:51,1.020835,0,1.02076,1.02091
2022-08-15 08:20:52,1.020805,3,1.02073,1.02088
2022-08-15 08:20:53,1.020805,0,1.02073,1.02088
2022-08-15 08:20:54,1.020795,3,1.02072,1.02087
2022-08-15 08:20:55,1.020795,0,1.02072,1.02087
2022-08-15 08:20:56,1.020795,0,1.02072,1.02087
2022-08-15 08:20:57,1.020795,0,1.02072,1.02087
2022-08-15 08:20:58,1.020775,9,1.0207,1.02085
2022-08-15 08:20:59,1.020795,0,1.02072,1.02087
2022-08-15 08:21:00,1.020785,7,1.02071,1.02086
2022-08-15 08:21:01,1.020775,0,1.0207,1.02085
2022-08-15 08:21:02,1.020775,0,1.0207,1.02085
2022-08-15 08:21:03,1.020785,2,1.02071,1.02086
2022-08-15 08:21:04,1.020775,1,1.0207,1.02085
2022-08-15 08:21:05,1.020775,0,1.0207,1.02085
2022-08-15 08:21:06,1.020785,2,1.02071,1.02086
2022-08-15 08:21:07,1.020785,0,1.02071,1.02086
2022-08-15 08:21:08,1.020795,0,1.02072,1.02087
2022-08-15 08:21:09,1.020775,0,1.0207,1.02085
2022-08-15 08:21:10,1.020755,2,1.02068,1.02083
2022-08-15 08:21:11,1.020775,0,1.0207,1.02085
2022-08-15 08:21:12,1.020785,2,1.02071,1.02086
2022-08-15 08:21:13,1.020755,0,1.02068,1.02083
2022-08-15 08:21:14,1.020805,0,1.02073,1.02088
2022-08-15 08:21:15,1.020785,1,1.02071,1.02086
